0, A0, 0.030262
0, A1, 0.026540
0, A2, 0.011712
0, A3, 0.008535
0, A4, 0.008399
0, A5, 0.008109
0, A6, 0.033603
0, A7, 0.030234
0, A8, 0.017331
0, A9, 0.014560
0, AA, 0.026138
0, AB, 0.042325
0, AC, 0.031046
0, AD, 0.032409
0, AE, 0.011146
0, AF, 0.023879
0, B0, 0.025296
0, B1, 0.028319
0, B2, 0.014409
0, B3, 0.015666
0, B4, 0.009124
0, B5, 0.012715
0, B6, 0.026940
0, B7, 0.029176
0, B8, 0.015201
0, B9, 0.014993
0, BA, 0.055587
0, BB, 0.035459
0, BC, 0.036004
0, BD, 0.035207
0, BE, 0.027909
0, BF, 0.011919
1, 00, 0.007179
1, 01, 0.006687
1, 02, 0.021067
1, 03, 0.019540
1, 04, 0.017149
1, 05, 0.017366
1, 06, 0.010118
1, 07, 0.008757
1, 08, 0.025197
1, 09, 0.021525
1, 0A, 0.022037
1, 0B, 0.008427
1, 0C, 0.014348
1, 0D, 0.014349
1, 0E, 0.033963
1, 0F, 0.015861
1, 10, 0.014999
1, 11, 0.015296
1, 12, 0.024576
1, 13, 0.028034
1, 14, 0.026991
1, 15, 0.029052
1, 16, 0.017807
1, 17, 0.019079
1, 18, 0.023509
1, 19, 0.029081
1, 1A, 0.010840
1, 1B, 0.031391
1, 1C, 0.015076
1, 1D, 0.019470
1, 1E, 0.024873
1, 1F, 0.048275
1, 40, 0.000030
1, 41, 0.000576
1, 42, 0.001890
1, 43, 0.001788
1, 44, 0.000824
1, 45, 0.002934
1, 46, 0.007173
1, 47, 0.000785
1, 48, 0.008337
1, 49, 0.003263
1, 4A, 0.009063
1, 4B, 0.029770
1, 4C, 0.020785
1, 4D, 0.019669
1, 4E, 0.000328
1, 4F, 0.006337
1, 50, 0.027099
1, 51, 0.022164
1, 52, 0.008743
1, 53, 0.013678
1, 54, 0.006319
1, 55, 0.001761
1, 56, 0.023490
1, 57, 0.020663
1, 58, 0.008713
1, 59, 0.009140
1, 5A, 0.041931
1, 5B, 0.014000
1, 5C, 0.009848
1, 5D, 0.006096
1, 5E, 0.029069
1, 5F, 0.002015
2, 80, 0.037103
2, 81, 0.027118
2, 82, 0.021021
2, 83, 0.025445
2, 84, 0.031734
2, 85, 0.014582
2, 86, 0.030190
2, 87, 0.032784
2, 88, 0.013436
2, 89, 0.019379
2, 8A, 0.026319
2, 8B, 0.027851
